112.200.223.65 - - [18/Jul/2010:06:26:00 -0400] "GET /ece242/examples/HelloWorld.java HTTP/1.1" 404 335 "http://www.ecs.umass.edu/ece/ece122/help/setenvironment.htm" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; InfoPath.2)"
212.65.2.130 - - [20/Jul/2010:01:56:06 -0400] "GET /~yliao/pmwiki/index.php?n=Misc.Vim HTTP/1.1" 200 2862 "-" "Opera/9.80 (X11; Linux x86_64; U; en) Presto/2.6.30 Version/10.60"
212.65.2.130 - - [20/Jul/2010:01:56:10 -0400] "GET /~yliao/pmwiki/pub/skins/monobook/monobook.css HTTP/1.1" 200 6730 "-" "Opera/9.80 (X11; Linux x86_64; U; en) Presto/2.6.30 Version/10.60"
212.65.2.130 - - [20/Jul/2010:01:56:15 -0400] "GET /~yliao/pmwiki/pub/umass.png HTTP/1.1" 200 20321 "-" "Opera/9.80 (X11; Linux x86_64; U; en) Presto/2.6.30 Version/10.60"
212.65.2.130 - - [20/Jul/2010:01:56:16 -0400] "GET /~yliao/pmwiki/pub/umass.png HTTP/1.1" 200 20321 "-" "Opera/9.80 (X11; Linux x86_64; U; en) Presto/2.6.30 Version/10.60"
212.65.2.130 - - [20/Jul/2010:01:56:17 -0400] "GET /~yliao/pmwiki/pub/skins/monobook/bullet.gif HTTP/1.1" 200 50 "-" "Opera/9.80 (X11; Linux x86_64; U; en) Presto/2.6.30 Version/10.60"
212.65.2.130 - - [20/Jul/2010:01:56:17 -0400] "GET /~yliao/pmwiki/pub/skins/monobook/bullet.gif HTTP/1.1" 200 50 "-" "Opera/9.80 (X11; Linux x86_64; U; en) Presto/2.6.30 Version/10.60"
212.65.2.130 - - [20/Jul/2010:01:56:18 -0400] "GET /~yliao/pmwiki/pub/skins/monobook/bullet.gif HTTP/1.1" 200 50 "-" "Opera/9.80 (X11; Linux x86_64; U; en) Presto/2.6.30 Version/10.60"
212.65.2.130 - - [20/Jul/2010:01:56:18 -0400] "GET /~yliao/pmwiki/pub/skins/monobook/external.png HTTP/1.1" 200 216 "-" "Opera/9.80 (X11; Linux x86_64; U; en) Presto/2.6.30 Version/10.60"
212.65.2.130 - - [20/Jul/2010:01:56:20 -0400] "GET /favicon.ico HTTP/1.1" 200 4710 "-" "Opera/9.80 (X11; Linux x86_64; U; en) Presto/2.6.30 Version/10.60"
128.119.100.153 - - [20/Jul/2010:02:07:24 -0400] "GET / HTTP/1.0" 304 - "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
207.46.199.191 - - [20/Jul/2010:02:08:48 -0400] "GET /robots.txt HTTP/1.1" 404 415 "-" "msnbot/2.0b (+http://search.msn.com/msnbot.htm)"
66.249.71.35 - - [20/Jul/2010:02:09:36 -0400] "GET /download.htm HTTP/1.1" 404 321 "-" "Googlebot/2.1 (+http://www.google.com/bot.html)"
124.115.6.15 - - [20/Jul/2010:02:14:01 -0400] "GET /robots.txt HTTP/1.1" 404 321 "-" "Sosospider+(+http://help.soso.com/webspider.htm)"
128.119.100.152 - - [20/Jul/2010:02:20:28 -0400] "GET /~yliao/pmwiki/index.php?n=Misc.Misc HTTP/1.0" 200 8630 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
58.218.204.110 - - [20/Jul/2010:02:21:17 -0400] "GET http://proxy.adsweet.com/proxyheader.php HTTP/1.1" 404 420 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"
66.249.71.35 - - [20/Jul/2010:02:25:56 -0400] "GET /~yliao/html/paper/ccnc07-techreport.pdf HTTP/1.1" 200 217986 "-" "Googlebot/2.1 (+http://www.google.com/bot.html)"
128.119.100.153 - - [20/Jul/2010:02:27:29 -0400] "GET /robots.txt HTTP/1.0" 404 321 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [20/Jul/2010:02:27:29 -0400] "GET /mnilpub/papers/PID28496.pdf HTTP/1.0" 304 - "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [20/Jul/2010:02:27:37 -0400] "GET /~yliao/pmwiki/ HTTP/1.0" 200 2810 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
67.195.113.245 - - [20/Jul/2010:02:33:08 -0400] "GET /mnilpub/papers/dtn-routing.pdf HTTP/1.0" 200 142518 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)"
220.181.7.80 - - [20/Jul/2010:02:37:30 -0400] "GET / HTTP/1.1" 200 247 "-" "Baiduspider+(+http://www.baidu.com/search/spider.htm)"
123.125.66.65 - - [20/Jul/2010:02:37:34 -0400] "GET / HTTP/1.1" 200 247 "-" "Baiduspider+(+http://www.baidu.com/search/spider.htm)"
66.249.71.35 - - [20/Jul/2010:02:44:39 -0400] "GET /~yliao/pmwiki/index.php?n=Main.CurriculumVitae HTTP/1.1" 200 5531 "-" "Googlebot/2.1 (+http://www.google.com/bot.html)"
121.22.24.5 - - [20/Jul/2010:02:44:44 -0400] "GET /publication/ HTTP/1.1" 404 322 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; SE 2.X; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; SE 2.X)"
121.22.24.5 - - [20/Jul/2010:02:44:49 -0400] "GET / HTTP/1.1" 200 202 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; SE 2.X; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; SE 2.X)"
121.22.24.5 - - [20/Jul/2010:02:44:49 -0400] "GET /html/ HTTP/1.1" 200 1360 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; SE 2.X; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; SE 2.X)"
121.22.24.5 - - [20/Jul/2010:02:44:52 -0400] "GET /html/umass_logo.gif HTTP/1.1" 200 882 "http://rio.ecs.umass.edu/html/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; SE 2.X; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; SE 2.X)"
121.22.24.5 - - [20/Jul/2010:02:44:53 -0400] "GET /html/science.jpg HTTP/1.1" 200 20137 "http://rio.ecs.umass.edu/html/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; SE 2.X; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; SE 2.X)"
121.22.24.5 - - [20/Jul/2010:02:44:52 -0400] "GET /html/balloon.jpg HTTP/1.1" 200 33440 "http://rio.ecs.umass.edu/html/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; SE 2.X; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; SE 2.X)"
66.249.71.35 - - [20/Jul/2010:02:45:14 -0400] "GET /publication/ HTTP/1.1" 404 322 "-" "Googlebot/2.1 (+http://www.google.com/bot.html)"
121.22.24.5 - - [20/Jul/2010:02:46:37 -0400] "GET /favicon.ico HTTP/1.1" 200 4710 "-" "Mozilla/4.0 (compatible; MSIE 5.00; Windows 98)"
121.22.24.5 - - [20/Jul/2010:02:47:01 -0400] "GET /favicon.ico HTTP/1.1" 200 4710 "-" "Mozilla/4.0 (compatible; MSIE 5.00; Windows 98)"
121.22.24.5 - - [20/Jul/2010:02:47:02 -0400] "GET /favicon.ico HTTP/1.1" 200 4710 "-" "Mozilla/4.0 (compatible; MSIE 5.00; Windows 98)"
128.119.100.153 - - [20/Jul/2010:03:02:44 -0400] "GET /robots.txt HTTP/1.0" 404 321 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [20/Jul/2010:03:02:44 -0400] "GET / HTTP/1.0" 304 - "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
217.162.210.229 - - [20/Jul/2010:03:06:56 -0400] "GET /mnilpub/papers/jxia-globecom04.pdf HTTP/1.1" 200 266533 "http://www.google.de/search?source=ig&hl=de&rlz=&q=as+relationship+inference&btnG=Google-Suche" "Mozilla/5.0 (compatible; Konqueror/4.4; Linux) KHTML/4.4.2 (like Gecko) Kubuntu"
117.121.208.234 - - [20/Jul/2010:03:11:03 -0400] "GET /mnilpub/papers/feng-infocom08.pdf HTTP/1.1" 200 111157 "http://www.google.co.th/search?hl=th&ei=EUJFTMD8N8rQcauYzeIP&q=backup+route&start=10&sa=N" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; http://intranet.mis.com; InfoPath.1; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)"
67.195.113.245 - - [20/Jul/2010:03:15:52 -0400] "GET /~yliao/pmwiki/index.php?n=Course.RecentChanges HTTP/1.0" 200 2135 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)"
67.195.113.245 - - [20/Jul/2010:03:15:53 -0400] "GET /~yliao/pmwiki/pub/skins/monobook/monobook.css HTTP/1.0" 304 - "http://rio.ecs.umass.edu/~yliao/pmwiki/index.php?n=Course.RecentChanges" "Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)"
121.22.24.5 - - [20/Jul/2010:03:18:34 -0400] "GET /html/publication/index.html HTTP/1.1" 200 6521 "http://rio.ecs.umass.edu/html/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; SE 2.X; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; SE 2.X)"
121.22.24.5 - - [20/Jul/2010:03:18:35 -0400] "GET /html/publication/index.css HTTP/1.1" 200 891 "http://rio.ecs.umass.edu/html/publication/index.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; SE 2.X; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; SE 2.X)"
121.22.24.5 - - [20/Jul/2010:03:19:08 -0400] "GET /mnilpub/papers/Lgao-INFOCOM2010-Best.pdf HTTP/1.1" 200 336527 "http://rio.ecs.umass.edu/html/publication/index.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; SE 2.X; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; SE 2.X)"
212.50.239.185 - - [20/Jul/2010:03:19:21 -0400] "GET /mnilpub/papers/vehicular-submitted.pdf HTTP/1.1" 200 380170 "http://www.google.com/search?hl=fa&lr=&as_qdr=all&ei=wExFTJyCAcH98AatnrwU&q=communication+in+vehicular+ad+hoc+networks+filetype:pdf&start=20&sa=N" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; InfoPath.2)"
128.119.100.152 - - [20/Jul/2010:03:21:30 -0400] "GET /robots.txt HTTP/1.0" 404 321 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:21:30 -0400] "GET /~yliao/pmwiki/index.php?n=Research.Project HTTP/1.0" 200 3844 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [20/Jul/2010:03:22:31 -0400] "GET /~yliao/pmwiki/index.php?n=Main.HomePage HTTP/1.0" 200 2810 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [20/Jul/2010:03:22:31 -0400] "GET /~yliao/pmwiki/index.php HTTP/1.0" 200 2810 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [20/Jul/2010:03:22:32 -0400] "GET /~yliao/pmwiki/index.php?n=Course.Course HTTP/1.0" 200 2725 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:24:43 -0400] "GET /~yliao/pmwiki/index.php?n=Research.Research HTTP/1.0" 200 2679 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:29:02 -0400] "GET /~yliao/pmwiki/index.php?n=Site.Search HTTP/1.0" 200 3029 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:30:57 -0400] "GET /mnilpub/papers/PID28496.pdf HTTP/1.0" 304 - "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:32:17 -0400] "GET /~yliao/pmwiki/index.php?n=Tool.Tools HTTP/1.0" 200 2681 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
220.181.7.89 - - [20/Jul/2010:03:32:26 -0400] "GET / HTTP/1.1" 200 247 "-" "Baiduspider+(+http://www.baidu.com/search/spider.htm)"
123.125.66.84 - - [20/Jul/2010:03:33:12 -0400] "GET / HTTP/1.1" 200 247 "-" "Baiduspider+(+http://www.baidu.com/search/spider.htm)"
128.119.100.152 - - [20/Jul/2010:03:33:27 -0400] "GET /~yliao/pmwiki/index.php?n=Fun.Fun HTTP/1.0" 200 2455 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:34:34 -0400] "GET /~yliao/pmwiki/index.php?n=Main.WebSites HTTP/1.0" 200 2681 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:35:47 -0400] "GET /~yliao HTTP/1.0" 301 330 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:36:43 -0400] "GET /~yliao/pmwiki/index.php?n=Research.Links HTTP/1.0" 200 2256 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:37:25 -0400] "GET /~yliao/pmwiki/index.php?n=Misc.CVS HTTP/1.0" 200 3293 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:38:07 -0400] "GET /~yliao/pmwiki/index.php?n=Misc.Latex HTTP/1.0" 200 4458 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:38:37 -0400] "GET /~yliao/pmwiki/index.php?n=Research.Software HTTP/1.0" 200 2568 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:39:02 -0400] "GET /~yliao/pmwiki/index.php?n=Admin.Admin HTTP/1.0" 200 2276 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:39:20 -0400] "GET /~yliao/pmwiki/index.php?n=Private.Private HTTP/1.0" 200 2277 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:40:06 -0400] "GET /~yliao/pmwiki/index.php?n=Course.Course HTTP/1.0" 200 2725 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:40:57 -0400] "GET /~yliao/pmwiki/index.php?n=Site.SideBar?action=edit HTTP/1.0" 200 2334 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:42:03 -0400] "GET /~yliao/pmwiki/index.php?n=Misc.Language HTTP/1.0" 200 2152 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:42:23 -0400] "GET /~yliao/pmwiki/index.php?n=Misc.Bash HTTP/1.0" 200 2617 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:42:53 -0400] "GET /~yliao/pmwiki/index.php?n=Misc.Linux HTTP/1.0" 200 3621 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:43:18 -0400] "GET /~yliao/pmwiki/index.php?n=Misc.Vim HTTP/1.0" 200 2862 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:45:07 -0400] "GET /~yliao/pmwiki/index.php?n=Misc.Emacs HTTP/1.0" 200 2398 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:45:18 -0400] "GET /~yliao/pmwiki/index.php?n=Misc.Gnuplot HTTP/1.0" 200 2824 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:45:29 -0400] "GET /~yliao/pmwiki/index.php?n=Misc.Misc HTTP/1.0" 200 8630 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:45:58 -0400] "GET /~yliao/pmwiki/index.php?n=Research.Project HTTP/1.0" 200 3844 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:46:08 -0400] "GET /~yliao/pmwiki/index.php?n=Research.Research HTTP/1.0" 200 2679 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:46:09 -0400] "GET /~yliao/pmwiki/index.php?n=Site.Search HTTP/1.0" 200 3029 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
212.65.2.130 - - [20/Jul/2010:03:47:25 -0400] "GET /~yliao/pmwiki/index.php?n=Misc.Vim HTTP/1.1" 200 2862 "-" "Opera/9.80 (X11; Linux x86_64; U; en) Presto/2.6.30 Version/10.60"
212.65.2.130 - - [20/Jul/2010:03:47:25 -0400] "GET /~yliao/pmwiki/pub/skins/monobook/monobook.css HTTP/1.1" 200 6730 "-" "Opera/9.80 (X11; Linux x86_64; U; en) Presto/2.6.30 Version/10.60"
212.65.2.130 - - [20/Jul/2010:03:47:28 -0400] "GET /~yliao/pmwiki/pub/skins/monobook/headbg.jpg HTTP/1.1" 200 7881 "-" "Opera/9.80 (X11; Linux x86_64; U; en) Presto/2.6.30 Version/10.60"
212.65.2.130 - - [20/Jul/2010:03:47:29 -0400] "GET /~yliao/pmwiki/pub/skins/monobook/bullet.gif HTTP/1.1" 200 50 "-" "Opera/9.80 (X11; Linux x86_64; U; en) Presto/2.6.30 Version/10.60"
212.65.2.130 - - [20/Jul/2010:03:47:29 -0400] "GET /~yliao/pmwiki/pub/skins/monobook/external.png HTTP/1.1" 200 216 "-" "Opera/9.80 (X11; Linux x86_64; U; en) Presto/2.6.30 Version/10.60"
212.65.2.130 - - [20/Jul/2010:03:47:29 -0400] "GET /~yliao/pmwiki/pub/umass.png HTTP/1.1" 200 20321 "-" "Opera/9.80 (X11; Linux x86_64; U; en) Presto/2.6.30 Version/10.60"
212.65.2.130 - - [20/Jul/2010:03:47:32 -0400] "GET /favicon.ico HTTP/1.1" 200 4710 "-" "Opera/9.80 (X11; Linux x86_64; U; en) Presto/2.6.30 Version/10.60"
128.119.100.153 - - [20/Jul/2010:03:47:36 -0400] "GET /robots.txt HTTP/1.0" 404 321 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [20/Jul/2010:03:47:36 -0400] "GET /mnilpub/papers/PID28496.pdf HTTP/1.0" 304 - "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [20/Jul/2010:03:47:40 -0400] "GET /~yliao/pmwiki/ HTTP/1.0" 200 2810 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:48:08 -0400] "GET /mnilpub/papers/PID28496.pdf HTTP/1.0" 304 - "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:48:28 -0400] "GET /~yliao/pmwiki/index.php?n=Misc.CVS HTTP/1.0" 200 3293 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:48:33 -0400] "GET /~yliao/pmwiki/index.php?n=Misc.Latex HTTP/1.0" 200 4458 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:49:03 -0400] "GET /~yliao/pmwiki/index.php?n=Research.Software HTTP/1.0" 200 2568 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:49:23 -0400] "GET /~yliao/pmwiki/index.php?n=Admin.Admin HTTP/1.0" 200 2276 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
67.195.113.245 - - [20/Jul/2010:03:50:22 -0400] "GET /mnilpub/papers/transient.pdf HTTP/1.0" 200 281935 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)"
95.108.244.251 - - [20/Jul/2010:03:50:33 -0400] "GET /ECE242/assignments/prog02/randomwordlist5.txt HTTP/1.1" 404 345 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
128.119.100.152 - - [20/Jul/2010:03:51:08 -0400] "GET /~yliao/pmwiki/index.php?n=Private.Private HTTP/1.0" 200 2277 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:51:33 -0400] "GET /~yliao/pmwiki/index.php?n=Course.Course HTTP/1.0" 200 2725 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:51:38 -0400] "GET /~yliao/pmwiki/index.php?n=Site.SideBar?action=edit HTTP/1.0" 200 2334 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:52:08 -0400] "GET /~yliao/pmwiki/index.php?n=Misc.Language HTTP/1.0" 200 2152 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:52:13 -0400] "GET /~yliao/pmwiki/index.php?n=Misc.Bash HTTP/1.0" 200 2617 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:54:18 -0400] "GET /~yliao/pmwiki/index.php?n=Misc.Linux HTTP/1.0" 200 3621 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:54:38 -0400] "GET /~yliao/pmwiki/index.php?n=Misc.Vim HTTP/1.0" 200 2862 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.152 - - [20/Jul/2010:03:55:13 -0400] "GET /~yliao/pmwiki/index.php?n=Misc.Emacs HTTP/1.0" 200 2398 "-" "gsa-crawler (Enterprise; S5-EY25PTT6T2NAA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
